name,AQI,PM2.5,PM10,CO,CO2,O3/1,O3/8,SO2
良,57,25,64,1.882,29,21,20,23
良,56,22,61,1.906,31,9,18,26
良,54,21,57,1.485,23,24,18,26
良,53,21,56,1.093,17,33,19,25
良,60,25,69,1.752,38,10,27,28
良,70,26,90,2.293,45,7,40,25
良,55,20,59,2.131,48,16,52,20
优,49,15,49,1.548,21,54,56,21
优,49,16,49,1.46,14,64,56,21
良,51,16,51,1.43,13,57,51,21
良,52,17,54,0.933,15,51,40,20
良,56,18,61,0.605,17,51,24,20
良,75,35,99,0.748,27,14,16,22
良,75,39,100,1.601,36,10,19,22
良,60,23,70,1.594,23,22,31,25
良,76,34,102,1.926,37,14,44,24
良,75,30,99,2.462,58,11,64,22
良,68,25,86,1.677,31,56,77,20
良,62,21,73,1.516,20,74,76,18
良,63,26,75,1.578,19,90,57,19
良,64,27,77,1.68,21,82,48,19
良,64,27,77,1.675,17,65,30,19
良,67,30,83,1.89,22,38,16,19
良,64,29,77,1.717,17,21,11,18
良,77,34,104,1.892,18,9,10,18
良,56,22,62,1.86,22,7,10,18
良,54,20,58,1.77,23,8,11,18
良,56,22,61,1.518,21,16,17,18
良,61,24,72,1.88,27,8,23,19
良,59,22,67,1.949,33,8,32,20
良,55,19,60,1.527,19,33,39,20
良,66,19,82,1.486,18,37,38,22
良,62,21,73,1.363,12,43,38,24
良,65,22,80,1.413,13,40,38,37
良,68,22,86,1.333,16,33,40,23
良,75,24,100,1.37,15,37,44,21
良,75,23,99,1.269,8,43,46,23
良,93,31,135,1.25,7,42,47,25
轻度污染,109,38,167,1.229,7,49,57,27
轻度污染,143,55,235,1.264,8,48,70,25
中度污染,154,61,257,1.39,14,41,86,21
轻度污染,113,69,175,2.166,29,80,101,21
轻度污染,101,58,152,2.133,27,96,101,22
良,87,47,123,1.748,16,114,88,22
良,86,45,122,1.754,15,111,76,24
良,97,48,143,1.901,19,90,68,21
良,90,47,129,2.021,32,57,68,24
良,76,36,102,1.548,20,65,73,26
良,76,35,102,1.52,13,72,70,27
良,76,34,102,1.414,7,81,58,29
良,78,36,106,1.407,11,74,51,34
良,81,37,111,1.532,20,60,56,37
轻度污染,121,73,192,2.779,82,18,72,29
良,86,45,122,2.217,59,38,92,24
良,75,35,100,1.756,27,88,95,23
良,84,39,117,1.731,14,112,82,21
良,93,45,136,1.79,14,112,62,21
轻度污染,106,54,162,2.04,30,77,41,23
轻度污染,104,51,157,2.158,38,44,28,24
轻度污染,103,50,156,1.868,27,37,20,19
轻度污染,102,49,154,1.71,27,28,14,17
良,86,37,122,1.631,43,12,12,20
良,75,32,100,1.552,44,16,12,22
良,71,26,92,1.773,52,13,34,26
良,75,28,99,1.779,49,21,66,24
良,87,39,124,2.912,79,8,92,19
良,78,36,106,2.726,63,8,70,17
良,60,22,70,1.409,27,64,82,20
良,69,23,87,1.359,15,95,71,17
良,68,26,85,1.438,14,94,50,17
良,75,29,99,1.493,18,72,29,20
良,82,33,114,1.751,31,42,20,20
良,81,33,112,2.073,36,12,20,21
良,73,25,96,1.761,31,8,26,22
良,76,26,102,1.481,29,23,35,24
良,79,25,107,1.392,23,33,36,29
良,77,20,104,1.318,21,39,44,31
良,85,22,119,1.448,30,39,61,23
良,99,23,148,1.706,39,32,74,22
良,93,21,136,1.518,28,46,85,21
良,65,33,80,1.54,24,105,82,22
良,68,33,85,1.527,22,97,59,28
良,71,34,92,1.526,20,72,28,24
良,78,37,105,1.542,23,60,20,24
良,89,40,128,1.769,39,22,11,22
良,87,37,123,1.901,42,7,10,21
良,76,33,101,1.897,46,7,11,30
良,62,25,73,1.48,54,8,24,33
良,64,26,77,1.546,45,19,42,42
良,93,49,136,2.708,76,7,59,36
良,75,34,99,1.839,47,51,80,31
